Combined_Key,Maricopa - Arizona - US,Los Angeles - California - US,Orange - California - US,San Diego - California - US,San Francisco - California - US,Santa Clara - California - US,Cook - Illinois - US,Suffolk - Massachusetts - US,Snohomish - Washington - US,Dane - Wisconsin - US
X3.18.20,0.258640959,1.881560705,0.916561315,1.817080557,5.861772508,9.104151493,3.407533981,6.44129705,39.40911749,4.340908533
X3.19.20,0.517281919,2.287581699,1.675094817,2.422774076,8.045570109,9.832483613,5.321878914,9.093595835,44.23991254,5.095849148
X3.20.20,0.799435692,2.891661715,2.054361568,3.846153846,8.735190404,10.19664967,5.321878914,10.86179503,48.9435814,6.039524916
X3.21.20,1.15212791,2.891661715,2.465233881,3.846153846,9.654684131,13.6822391,10.49061023,13.64039375,56.8254049,9.248022527
X3.22.20,1.904537973,4.030501089,3.002528445,4.694124773,12.41316531,13.6822391,15.41047671,15.91379271,61.02056902,11.51284437
X3.23.20,3.268281213,5.307981779,3.950695322,6.087219867,15.05670978,15.71116429,17.65026028,19.45019109,65.97849025,13.21146075
X3.24.20,4.679050082,6.555753615,4.804045512,6.844336766,17.47038081,19.50889606,22.8572785,29.55418646,78.05547787,13.58893106
X3.25.20,5.901716435,8.041196276,5.910240202,7.207752877,20.45873542,23.87888877,27.14541115,43.19458022,80.59800158,16.60869352
X3.26.20,7.030331531,12.17072688,8.09102402,8.873410055,25.63088763,28.19685777,27.14541115,56.58237409,98.90417228,25.29051059
X3.27.20,9.381612979,14.50782333,10.14538559,10.3270745,32.06734372,29.8616169,42.86218305,79.6952635,115.9390811,29.82015427
X3.28.20,10.67481778,14.50782333,12.73704172,12.50757117,35.40050848,30.74602019,50.0218331,106.4708512,116.0662073,32.46244642
X3.29.20,12.81448389,18.11249752,13.62199747,14.65778316,39.07848339,33.60732494,65.94918295,118.7219456,115.9390811,34.53853311
X3.30.20,16.22384199,24.49990097,14.66498104,15.59660812,42.98633173,44.11611695,71.34763566,140.8244355,135.7707661,36.2371495
X3.31.20,18.52809781,29.89700931,15.86599241,18.2616596,45.62987619,46.30111331,86.0689482,173.4098206,156.2380819,40.38932287
X4.1.20,20.47966142,34.8385819,19.15297092,22.19866747,49.88253468,49.73467901,98.62705096,205.1111061,165.7725458,40.57805803
